"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bulgaria","BGR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.95102","","","9.27774","9.65432","11.18025","6.703","12.07252","12.01048","11.11392","12.61226","12.65675","11.16342","11.10005","10.69092","11.4398","","","",
"Bahrain","BHR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.91866","11.02673","10.55867","","","","8.94804","","","","",
"Bahamas, The","BHS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.92281","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.95341","13.01993","13.25643","10.74849","","8.45011","12.86463","14.03116","13.18072","12.27407","12.40667","11.19521","",
"Belize","BLZ","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.89415","16.05444","18.30537","","16.15851","16.82134","","","","19.60072","21.77003","23.05208","","","23.02396","","","",
"Bermuda","BMU","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0366","11.11385","12.1054","","","","13.97043","12.93424","","","","7.79644","9.0188","",
"Bolivia","BOL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.88842","24.43961","21.03771","","18.42669","19.27241","18.67085","18.46146","18.71381","19.94096","","","21.1625","","19.92381","22.56084","24.12779","19.48311","17.82895","16.28364","16.8421","","",
"Brazil","BRA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.62986","9.60027","11.45216","10.61094","9.637","","10.3939","11.25693","12.4228","13.21812","14.08182","14.72314","14.56005","15.26948","15.55296","15.97432","","","",
"Barbados","BRB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.14668","13.97806","17.25794","15.91701","15.66595","15.38793","15.39544","","15.21563","13.42763","13.84276","15.56024","","13.68958","12.15405","14.16474","","",
"Brunei Darussalam","BRN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","13.07099","11.23897","","","","","9.58601","11.84343","10.06579","8.71027","8.22682","9.18063","9.276","","","","","8.76089","8.89343","8.92074","","","","","","","","","","5.29154","9.18219","9.72782","","9.98591","","",
"Bhutan","BTN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.77201","13.08501","","","18.69831","22.84906","","","15.64473","12.86167","11.79651","13.05737","","15.63382","17.03031","25.52448","",
"Botswana","BWA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","14.32691","15.5187","15.42983","15.49169","16.69395","16.03128","","16.51088","","16.31502","","","","","","","","","","","","","25.82353","","26.50779","","20.4774","","","","","","","",
"Central African Republic","CAF","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.14008","9.92337","","","","","","","","8.94932","9.93077","","9.21473","12.02802","12.06446","9.68047","10.05424","9.86948","7.86","7.83009","6.47538","7.82546","","","","","",
"Canada","CAN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","15.5789","15.53181","14.77497","14.0908","13.23688","12.6832","13.45583","13.53854","13.56977","13.19062","14.2638","13.11614","14.62348","12.93443","12.86363","","","12.63958","12.74188","12.9826","12.21224","12.1479","","","12.17807","","12.32856","12.00996","12.48364","12.33596","12.21914","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.72865","","11.27881","10.139015","10.32361","11.157895","10.92235","11.67253","11.0059","12.07252","12.35284","11.29193","11.9777","11.10287","11.11259","11.05587","11.30628","10.71742","","","",
"Switzerland","CHE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","15.88254","15.80908","16.02327","15.74066","16.4562","16.1084","17.49946","17.49032","","16.4527","15.7882","15.64769","15.63654","","14.75851","15.08167","15.48919","15.64357","16.09","16.36779","16.30585","15.88932","15.971","15.68697","15.96731","15.60827","15.39823","15.32575","15.49724","15.3977","","","",
"Channel Islands","CHI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4341","14.07197","14.95804","15.6946","14.44519","15.1243","15.63322","16.40149","","17.40728","17.60468","16.97488","16.15854","16.19687","16.72521","17.37077","16.99418","17.81364","17.72904","19.63988","19.61054","19.89141","","",
"China","CHN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","9.56325","9.76224","10.68738","10.43901","9.46158","10.74394","","","","12.29053","14.77395","20.06494","18.71717","19.50534","","14.55141","12.63156","","","","","","","","","","","","","","","","","",
