"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Benin","BEN","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","50.34856","49.58399","51.46621","","51.83176","51.34512","60.73805","","51.18696","47.28056","46.09575","43.76148","41.57544","38.34027","","","","","","17.12625","14.19443","18.2477","15.32814","","12.3767","6.68782","5.87915","5.93855","5.1369","","4.13338","","",
"Burkina Faso","BFA","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","89.9454","89.51221","","","","","87.44203","86.97318","86.4811","85.69158","84.67562","83.1859","81.92","80.57094","78.51536","76.51454","74.86181","74.37803","74.08528","","72.81773","72.29648","71.31294","70.08697","68.46483","","","65.0203","64.4863","63.25434","62.22812","63.27615","60.946","58.84432","54.02226","50.37655","45.04953","39.01416","36.15196","39.93179","35.35775","34.24834","33.38408","32.04646","30.33577","",
"Bangladesh","BGD","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","49.15306","","","29.62524","","","23.76049","28.61634","29.33893","","","32.37691","","35.54496","36.94011","38.76682","39.76747","40.75862","30.45543","30.48473","27.5354","","","","","","","","","","","","","","","4.62698","4.14373","","7.15834","6.2058","5.06796","","","","","","",
"Bulgaria","BGR","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73077","4.74084","2.23047","1.92089","2.09533","1.66854","2.49151","2.56002","3.04954","6.2121","7.69976","4.37087","2.34843","0.94081","0.66957","1.40382","3.00817","3.37992","3.64178","5.06306","",
"Bahrain","BHR","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","23.7023","20.87638","19.81952","18.20894","14.75874","17.89571","17.88612","19.92929","19.27725","17.56105","17.95506","19.3322","16.67506","13.32023","8.8831","3.79585","4.44211","1.70997","0.95627","","0.55056","3.05269","1.97718","2.00975","0.89781","0.08026","0.13253","0.29308","0.41646","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","0","0.08075","3.62817","0.60696","0","1.14758","","","","2.7839","0","","","4.07305","","","","","","","","11.46399","11.1208","7.38649","","","","","8.71074","","","","","5.60269","1.42015","2.87018","1.33621","1.38931","3.80885","2.19414","","","","","","",
"Bosnia and Herzegovina","BIH","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.16749","","","","","","3.45986","6.46947","6.34802","7.87298","9.84323","9.82576","9.96854","","8.04495","8.59754","8.98193","5.81933","6.85789","5.93879","4.34603","",
"Belize","BLZ","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.80297","3.66911","6.47157","","6.12793","4.52985","4.92783","4.28445","4.70314","3.71667","2.87107","1.9838","2.32138","0.43104","1.11237","0.85243","2.14666","",
"Bermuda","BMU","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","17.28041","19.19701","","","","","8.35069","6.02474","","","","","","","","","","","","","","","","","","","","2.41964","","","","","","12.08927","16.54213","","","","",
